run_id,timestamp_utc,host,os,fd_setsize,ulimit_n,open_max,target_mode,concurrency,payload_bytes,repeat,attempted,conn_ok,conn_failed,total_bytes,wall_time_s,throughput_Bps,throughput_MiBps,conn_rate_s,p50_socks_ms,p95_socks_ms,p50_total_ms,p95_total_ms,rep_nonzero,first_error,metrics_historic_delta,metrics_failed_delta,metrics_bytes_delta
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.510211+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,ipv4,5,1024,1,5,5,0,5120,0.003166,1617288.83,1.5424,1579.38,2.270,2.454,2.642,2.727,0,,5,0,5140
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.518590+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,ipv4,20,1024,1,20,20,0,20480,0.006513,3144419.91,2.9988,3070.72,3.980,4.160,5.385,5.463,0,,20,0,20560
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.521621+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,ipv4,5,8192,1,5,5,0,40960,0.001871,21897397.17,20.8830,2673.02,1.135,1.158,1.541,1.572,0,,5,0,40980
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.527541+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,ipv4,20,8192,1,20,20,0,163840,0.004824,33960580.50,32.3873,4145.58,2.847,2.935,3.642,3.965,0,,20,0,163920
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.532273+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,fqdn,5,1024,1,5,5,0,5120,0.003733,1371489.65,1.3080,1339.35,3.069,3.228,3.352,3.613,0,,5,0,5140
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.540415+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,fqdn,20,1024,1,20,20,0,20480,0.007291,2808958.68,2.6788,2743.12,5.014,5.865,5.922,6.621,0,,20,0,20560
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.543722+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,fqdn,5,8192,1,5,5,0,40960,0.002409,17000259.94,16.2127,2075.23,1.752,1.877,2.129,2.227,0,,5,0,40980
2026-07-05_local-smoke_v1,2026-07-05T16:16:31.551103+00:00,Keonis-MacBook-Pro-2.local,macOS-26.5.1-arm64-arm-64bit,1024,1048575,1048575,fqdn,20,8192,1,20,20,0,163840,0.006530,25089391.40,23.9271,3062.67,4.958,5.274,5.600,6.011,0,,20,0,163920
